"country_id","country","email_list"
20,"Canada","loretta.carpenter@sakilacustomer.org;curtis.irby@sakilacustomer.org;troy.quigley@sakilacustomer.org;darrell.power@sakilacustomer.org;derrick.bourque@sakilacustomer.org"
21,"Chad","javier.elrod@sakilacustomer.org"
22,"Chile","janet.phillips@sakilacustomer.org;jerome.kenyon@sakilacustomer.org;andre.rapp@sakilacustomer.org"
23,"China","pamela.baker@sakilacustomer.org;judith.cox@sakilacustomer.org;kelly.torres@sakilacustomer.org;ruby.washington@sakilacustomer.org;phyllis.foster@sakilacustomer.org;tiffany.jordan@sakilacustomer.org;carrie.porter@sakilacustomer.org;hazel.warren@sakilacustomer.org;megan.palmer@sakilacustomer.org;michele.grant@sakilacustomer.org;lorraine.stephens@sakilacustomer.org;regina.berry@sakilacustomer.org;erica.matthews@sakilacustomer.org;sue.peters@sakilacustomer.org;stacey.montgomery@sakilacustomer.org;heidi.larson@sakilacustomer.org;glenda.frazier@sakilacustomer.org;dora.medina@sakilacustomer.org;christy.vargas@sakilacustomer.org;margie.wade@sakilacustomer.org;kay.caldwell@sakilacustomer.org;leona.obrien@sakilacustomer.org;felicia.sutton@sakilacustomer.org;michael.silverman@sakilacustomer.org;donald.mahon@sakilacustomer.org;gary.coy@sakilacustomer.org;walter.perryman@sakilacustomer.org;eugene.culpepper@sakilacustomer.org;ernest.stepp@sakilacustomer.org;alan.kahn@sakilacustomer.org;melvin.ellington@sakilacustomer.org;kyle.spurlock@sakilacustomer.org;ricky.shelby@sakilacustomer.org;leroy.bustamante@sakilacustomer.org;leo.ebert@sakilacustomer.org;roberto.vu@sakilacustomer.org;clyde.tobias@sakilacustomer.org;charlie.bess@sakilacustomer.org;tyler.wren@sakilacustomer.org;chester.benner@sakilacustomer.org;franklin.troutman@sakilacustomer.org;roland.south@sakilacustomer.org;jessie.milam@sakilacustomer.org;ted.breaux@sakilacustomer.org;kelly.knott@sakilacustomer.org;guy.brownlee@sakilacustomer.org;hugh.waldrop@sakilacustomer.org;bob.pfeiffer@sakilacustomer.org;dave.gardiner@sakilacustomer.org;marion.ocampo@sakilacustomer.org;eduardo.hiatt@sakilacustomer.org;terrence.gunderson@sakilacustomer.org;austin.cintron@sakilacustomer.org"
24,"Colombia","wanda.patterson@sakilacustomer.org;sylvia.ortiz@sakilacustomer.org;stacy.cunningham@sakilacustomer.org;jackie.lynch@sakilacustomer.org;leon.bostic@sakilacustomer.org;sam.mcduffie@sakilacustomer.org"
25,"Congo, The Democratic Republic of the","aaron.selby@sakilacustomer.org;jesse.schilling@sakilacustomer.org"
26,"Czech Republic","jennie.terry@sakilacustomer.org"
27,"Dominican Republic","myrtle.fleming@sakilacustomer.org;jeff.east@sakilacustomer.org;randall.neumann@sakilacustomer.org"
28,"Ecuador","patsy.davidson@sakilacustomer.org;ramon.choate@sakilacustomer.org;tracy.herrmann@sakilacustomer.org"
29,"Egypt","sherry.marshall@sakilacustomer.org;emma.boyd@sakilacustomer.org;lillie.kim@sakilacustomer.org;alfred.casillas@sakilacustomer.org;rick.mattox@sakilacustomer.org;everett.banda@sakilacustomer.org"
30,"Estonia","marcus.hidalgo@sakilacustomer.org"
31,"Ethiopia","sean.douglass@sakilacustomer.org"
32,"Faroe Islands","edward.baugh@sakilacustomer.org"
33,"Finland","erika.pena@sakilacustomer.org"
34,"France","virginia.green@sakilacustomer.org;rita.graham@sakilacustomer.org;lauren.hudson@sakilacustomer.org;luis.yanez@sakilacustomer.org"
35,"French Guiana","rose.howard@sakilacustomer.org"
36,"French Polynesia","christine.roberts@sakilacustomer.org;gloria.cook@sakilacustomer.org"
37,"Gambia","salvador.teel@sakilacustomer.org"
38,"Germany","grace.ellis@sakilacustomer.org;vanessa.sims@sakilacustomer.org;alma.austin@sakilacustomer.org;vicki.fields@sakilacustomer.org;colleen.burton@sakilacustomer.org;vickie.brewer@sakilacustomer.org;miguel.betancourt@sakilacustomer.org"
39,"Greece","linda.williams@sakilacustomer.org;enrique.forsythe@sakilacustomer.org"
40,"Greenland","gertrude.castillo@sakilacustomer.org"
41,"Holy See (Vatican City State)","jessica.hall@sakilacustomer.org"
42,"Hong Kong","violet.rodriquez@sakilacustomer.org"
43,"Hungary","terrance.roush@sakilacustomer.org"
44,"India","nancy.thomas@sakilacustomer.org;helen.harris@sakilacustomer.org;cynthia.young@sakilacustomer.org;brenda.wright@sakilacustomer.org;amy.lopez@sakilacustomer.org;cheryl.murphy@sakilacustomer.org;mildred.bailey@sakilacustomer.org;nicole.peterson@sakilacustomer.org;lori.wood@sakilacustomer.org;paula.bryant@sakilacustomer.org;edith.mcdonald@sakilacustomer.org;josephine.gomez@sakilacustomer.org;shannon.freeman@sakilacustomer.org;juanita.mason@sakilacustomer.org;anita.morales@sakilacustomer.org;alicia.mills@sakilacustomer.org;sally.pierce@sakilacustomer.org;beatrice.arnold@sakilacustomer.org;annette.olson@sakilacustomer.org;holly.fox@sakilacustomer.org;laurie.lawrence@sakilacustomer.org;carla.gutierrez@sakilacustomer.org;lucy.wheeler@sakilacustomer.org;tonya.chapman@sakilacustomer.org;agnes.bishop@sakilacustomer.org;pearl.garza@sakilacustomer.org;arlene.harvey@sakilacustomer.org;georgia.jacobs@sakilacustomer.org;nellie.garrett@sakilacustomer.org;lena.jensen@sakilacustomer.org;nina.soto@sakilacustomer.org;penny.neal@sakilacustomer.org;naomi.jennings@sakilacustomer.org;becky.miles@sakilacustomer.org;ramona.hale@sakilacustomer.org;sherri.rhodes@sakilacustomer.org;john.farnsworth@sakilacustomer.org;steven.curley@sakilacustomer.org;joshua.mark@sakilacustomer.org;gerald.fultz@sakilacustomer.org;samuel.marlow@sakilacustomer.org;adam.gooch@sakilacustomer.org;wayne.truong@sakilacustomer.org;carlos.coughlin@sakilacustomer.org;mike.way@sakilacustomer.org;allen.butterfield@sakilacustomer.org;marvin.yee@sakilacustomer.org;chad.carbone@sakilacustomer.org;lee.hawks@sakilacustomer.org;bradley.motley@sakilacustomer.org;bernard.colby@sakilacustomer.org;theodore.culp@sakilacustomer.org;tim.cary@sakilacustomer.org;lester.kraus@sakilacustomer.org;brett.cornwell@sakilacustomer.org;milton.howland@sakilacustomer.org;raul.fortier@sakilacustomer.org;erik.guillen@sakilacustomer.org;christian.jung@sakilacustomer.org;dwayne.olvera@sakilacustomer.org"
45,"Indonesia","jared.ely@sakilacustomer.org;victoria.gibson@sakilacustomer.org;suzanne.nichols@sakilacustomer.org;tara.ryan@sakilacustomer.org;minnie.romero@sakilacustomer.org;jeffrey.spear@sakilacustomer.org;steve.mackenzie@sakilacustomer.org;norman.currier@sakilacustomer.org;jay.robb@sakilacustomer.org;lloyd.dowd@sakilacustomer.org;jorge.olivares@sakilacustomer.org;reginald.kinder@sakilacustomer.org;leslie.seward@sakilacustomer.org;lonnie.tirado@sakilacustomer.org"
46,"Iran","dorothy.taylor@sakilacustomer.org;kathleen.adams@sakilacustomer.org;roberta.harper@sakilacustomer.org;dianne.shelton@sakilacustomer.org;harry.arce@sakilacustomer.org;howard.fortner@sakilacustomer.org;oscar.aquino@sakilacustomer.org;tommy.collazo@sakilacustomer.org"
47,"Iraq","daryl.larue@sakilacustomer.org"
48,"Israel","crystal.ford@sakilacustomer.org;geraldine.perkins@sakilacustomer.org;kenneth.gooden@sakilacustomer.org;lewis.lyman@sakilacustomer.org"
49,"Italy","anna.hill@sakilacustomer.org;bessie.morrison@sakilacustomer.org;christopher.greco@sakilacustomer.org;alexander.fennell@sakilacustomer.org;marc.outlaw@sakilacustomer.org;adrian.clary@sakilacustomer.org;darren.windham@sakilacustomer.org"
50,"Japan","mary.smith@sakilacustomer.org;lisa.anderson@sakilacustomer.org;angela.hernandez@sakilacustomer.org;rebecca.scott@sakilacustomer.org;heather.morris@sakilacustomer.org;teresa.rogers@sakilacustomer.org;rachel.barnes@sakilacustomer.org;debbie.reyes@sakilacustomer.org;joanne.robertson@sakilacustomer.org;cathy.spencer@sakilacustomer.org;kristen.chavez@sakilacustomer.org;marlene.welch@sakilacustomer.org;terry.carlson@sakilacustomer.org;gwendolyn.may@sakilacustomer.org;miriam.mckinney@sakilacustomer.org;james.gannon@sakilacustomer.org;jerry.jordon@sakilacustomer.org;terry.grissom@sakilacustomer.org;bruce.schwarz@sakilacustomer.org;phillip.holm@sakilacustomer.org;clarence.gamez@sakilacustomer.org;earl.shanks@sakilacustomer.org;tony.carranza@sakilacustomer.org;stanley.scroggins@sakilacustomer.org;frederick.isbell@sakilacustomer.org;ricardo.meador@sakilacustomer.org;angel.barclay@sakilacustomer.org;ron.deluca@sakilacustomer.org;jamie.waugh@sakilacustomer.org;kurt.emmons@sakilacustomer.org;julian.vest@sakilacustomer.org"
51,"Kazakstan","irene.price@sakilacustomer.org;byron.box@sakilacustomer.org"
52,"Kenya","katie.elliott@sakilacustomer.org;roy.whiting@sakilacustomer.org"
53,"Kuwait","claudia.fuller@sakilacustomer.org"
54,"Latvia","sarah.lewis@sakilacustomer.org;ryan.salisbury@sakilacustomer.org"
55,"Liechtenstein","evelyn.morgan@sakilacustomer.org"
56,"Lithuania","felix.gaffney@sakilacustomer.org"
57,"Madagascar","andrea.henderson@sakilacustomer.org"
58,"Malawi","lynn.payne@sakilacustomer.org"
59,"Malaysia","jean.bell@sakilacustomer.org;dolores.wagner@sakilacustomer.org;charles.kowalski@sakilacustomer.org"
60,"Mexico","sara.perry@sakilacustomer.org;tracy.cole@sakilacustomer.org;wendy.harrison@sakilacustomer.org;pauline.henry@sakilacustomer.org;danielle.daniels@sakilacustomer.org;samantha.duncan@sakilacustomer.org;stella.moreno@sakilacustomer.org;priscilla.lowe@sakilacustomer.org;bobbie.craig@sakilacustomer.org;ronald.weiner@sakilacustomer.org;matthew.mahan@sakilacustomer.org;douglas.graf@sakilacustomer.org;jonathan.scarborough@sakilacustomer.org;benjamin.varney@sakilacustomer.org;fred.wheat@sakilacustomer.org;vincent.ralston@sakilacustomer.org;francis.sikes@sakilacustomer.org;jim.rea@sakilacustomer.org;alex.gresham@sakilacustomer.org;floyd.gandy@sakilacustomer.org;alvin.deloach@sakilacustomer.org;maurice.crawley@sakilacustomer.org;glen.talbert@sakilacustomer.org;shane.millard@sakilacustomer.org;ivan.cromwell@sakilacustomer.org;isaac.oglesby@sakilacustomer.org;willard.lumpkin@sakilacustomer.org;virgil.wofford@sakilacustomer.org;andy.vanhorn@sakilacustomer.org;sergio.stanfield@sakilacustomer.org"
61,"Moldova","martha.gonzalez@sakilacustomer.org"
62,"Morocco","laura.rodriguez@sakilacustomer.org;amanda.carter@sakilacustomer.org;lance.pemberton@sakilacustomer.org"
63,"Mozambique","annie.russell@sakilacustomer.org;marsha.douglas@sakilacustomer.org;don.bone@sakilacustomer.org"
64,"Myanmar","barbara.jones@sakilacustomer.org;mabel.holland@sakilacustomer.org"
65,"Nauru","duane.tubbs@sakilacustomer.org"
66,"Nepal","kevin.schuler@sakilacustomer.org"
67,"Netherlands","rhonda.kennedy@sakilacustomer.org;vivian.ruiz@sakilacustomer.org;peter.menard@sakilacustomer.org;glenn.pullen@sakilacustomer.org;dustin.gillette@sakilacustomer.org"
68,"New Zealand","susan.wilson@sakilacustomer.org"
69,"Nigeria","carol.garcia@sakilacustomer.org;marilyn.ross@sakilacustomer.org;gladys.hamilton@sakilacustomer.org;bertha.ferguson@sakilacustomer.org;elsie.kelley@sakilacustomer.org;constance.reid@sakilacustomer.org;jo.fowler@sakilacustomer.org;olga.jimenez@sakilacustomer.org;tracey.barrett@sakilacustomer.org;sonia.gregory@sakilacustomer.org;velma.lucas@sakilacustomer.org;rodney.moeller@sakilacustomer.org;wallace.slone@sakilacustomer.org"
70,"North Korea","darlene.rose@sakilacustomer.org"
71,"Oman","margaret.moore@sakilacustomer.org;gene.sanborn@sakilacustomer.org"
72,"Pakistan","sharon.robinson@sakilacustomer.org;deborah.walker@sakilacustomer.org;melinda.fernandez@sakilacustomer.org;danny.isom@sakilacustomer.org;jeffery.pinson@sakilacustomer.org"
73,"Paraguay","eileen.carr@sakilacustomer.org;maureen.little@sakilacustomer.org;carl.artis@sakilacustomer.org"
74,"Peru","thelma.murray@sakilacustomer.org;david.royal@sakilacustomer.org;jaime.nettles@sakilacustomer.org;freddie.duggan@sakilacustomer.org"
75,"Philippines","shirley.allen@sakilacustomer.org;kathy.james@sakilacustomer.org;theresa.watson@sakilacustomer.org;norma.gonzales@sakilacustomer.org;melanie.armstrong@sakilacustomer.org;marcia.dean@sakilacustomer.org;viola.hanson@sakilacustomer.org;irma.pearson@sakilacustomer.org;deanna.byrd@sakilacustomer.org;hilda.hopkins@sakilacustomer.org;joe.gilliland@sakilacustomer.org;billy.poulin@sakilacustomer.org;louis.leone@sakilacustomer.org;craig.morrell@sakilacustomer.org;eddie.tomlin@sakilacustomer.org;derek.blakely@sakilacustomer.org;rafael.abney@sakilacustomer.org;arnold.havens@sakilacustomer.org;allan.cornish@sakilacustomer.org;ross.grey@sakilacustomer.org"
76,"Poland","marjorie.tucker@sakilacustomer.org;leah.curtis@sakilacustomer.org;brian.wyman@sakilacustomer.org;russell.brinson@sakilacustomer.org;ruben.geary@sakilacustomer.org;jimmie.eggleston@sakilacustomer.org;johnnie.chisholm@sakilacustomer.org;sidney.burleson@sakilacustomer.org"
77,"Puerto Rico","jenny.castro@sakilacustomer.org;ralph.madrigal@sakilacustomer.org"
78,"Romania","joy.george@sakilacustomer.org;ken.prewitt@sakilacustomer.org"
79,"Runion","eleanor.hunt@sakilacustomer.org"
80,"Russian Federation","donna.thompson@sakilacustomer.org;marie.turner@sakilacustomer.org;catherine.campbell@sakilacustomer.org;ann.evans@sakilacustomer.org;doris.reed@sakilacustomer.org;robin.hayes@sakilacustomer.org;connie.wallace@sakilacustomer.org;elaine.stevens@sakilacustomer.org;erin.dunn@sakilacustomer.org;dana.hart@sakilacustomer.org;jeanette.greene@sakilacustomer.org;delores.hansen@sakilacustomer.org;daisy.bates@sakilacustomer.org;robert.baughman@sakilacustomer.org;paul.trout@sakilacustomer.org;arthur.simpkins@sakilacustomer.org;juan.fraley@sakilacustomer.org;jack.foust@sakilacustomer.org;randy.gaither@sakilacustomer.org;philip.causey@sakilacustomer.org;jimmy.schrader@sakilacustomer.org;herbert.kruger@sakilacustomer.org;ray.houle@sakilacustomer.org;clifford.bowens@sakilacustomer.org;warren.sherrod@sakilacustomer.org;hector.poindexter@sakilacustomer.org;ben.easter@sakilacustomer.org;alfredo.mcadams@sakilacustomer.org"
81,"Saint Vincent and the Grenadines","jose.andrew@sakilacustomer.org"
82,"Saudi Arabia","joyce.edwards@sakilacustomer.org;christina.ramirez@sakilacustomer.org;peggy.myers@sakilacustomer.org;mark.rinehart@sakilacustomer.org;travis.estep@sakilacustomer.org"
83,"Senegal","ronnie.ricketts@sakilacustomer.org"
84,"Slovakia","keith.rico@sakilacustomer.org"
85,"South Africa","ruth.martinez@sakilacustomer.org;louise.jenkins@sakilacustomer.org;edna.west@sakilacustomer.org;ethel.webb@sakilacustomer.org;esther.crawford@sakilacustomer.org;lucille.holmes@sakilacustomer.org;dennis.gilman@sakilacustomer.org;dale.ratcliff@sakilacustomer.org;edwin.burk@sakilacustomer.org;dean.sauer@sakilacustomer.org;dwight.lombardi@sakilacustomer.org"
86,"South Korea","bonnie.hughes@sakilacustomer.org;emily.diaz@sakilacustomer.org;tanya.gilbert@sakilacustomer.org;courtney.day@sakilacustomer.org;fernando.churchill@sakilacustomer.org"
87,"Spain","julie.sanchez@sakilacustomer.org;mae.fletcher@sakilacustomer.org;chris.brothers@sakilacustomer.org;wesley.bull@sakilacustomer.org;nelson.christenson@sakilacustomer.org"
88,"Sri Lanka","manuel.murrell@sakilacustomer.org"
89,"Sudan","diane.collins@sakilacustomer.org;johnny.turpin@sakilacustomer.org"
90,"Sweden","janice.ward@sakilacustomer.org"
91,"Switzerland","katherine.rivera@sakilacustomer.org;gail.knight@sakilacustomer.org;wade.delvalle@sakilacustomer.org"
92,"Taiwan","elizabeth.brown@sakilacustomer.org;melissa.king@sakilacustomer.org;beverly.brooks@sakilacustomer.org;tammy.sanders@sakilacustomer.org;amber.dixon@sakilacustomer.org;roger.quintanilla@sakilacustomer.org;brad.mccurdy@sakilacustomer.org;morris.mccarter@sakilacustomer.org;clifton.malcolm@sakilacustomer.org;kirk.stclair@sakilacustomer.org"
93,"Tanzania","yolanda.weaver@sakilacustomer.org;charlene.alvarez@sakilacustomer.org;herman.devore@sakilacustomer.org"
94,"Thailand","carolyn.perez@sakilacustomer.org;jacqueline.long@sakilacustomer.org;shawn.heaton@sakilacustomer.org"
95,"Tonga","henry.billingsley@sakilacustomer.org"
96,"Tunisia","gregory.mauldin@sakilacustomer.org"
97,"Turkey","karen.jackson@sakilacustomer.org;sheila.wells@sakilacustomer.org;leslie.gordon@sakilacustomer.org;joann.gardner@sakilacustomer.org;bernice.willis@sakilacustomer.org;rosemary.schmidt@sakilacustomer.org;billie.horton@sakilacustomer.org;larry.thrasher@sakilacustomer.org;brandon.huey@sakilacustomer.org;corey.hauser@sakilacustomer.org;vernon.chapa@sakilacustomer.org;brent.harkins@sakilacustomer.org;edgar.rhoads@sakilacustomer.org;gabriel.harder@sakilacustomer.org;casey.mena@sakilacustomer.org"
98,"Turkmenistan","jeanne.lawson@sakilacustomer.org"
99,"Tuvalu","dawn.sullivan@sakilacustomer.org"
100,"Ukraine","kathryn.coleman@sakilacustomer.org;monica.hicks@sakilacustomer.org;brittany.riley@sakilacustomer.org;todd.tan@sakilacustomer.org;pedro.chestnut@sakilacustomer.org;julio.noland@sakilacustomer.org"
101,"United Arab Emirates","lillian.griffin@sakilacustomer.org;misty.lambert@sakilacustomer.org;tom.milner@sakilacustomer.org"
102,"United Kingdom","sandra.martin@sakilacustomer.org;anne.powell@sakilacustomer.org;april.burns@sakilacustomer.org;mattie.hoffman@sakilacustomer.org;dan.paine@sakilacustomer.org;gilbert.sledge@sakilacustomer.org;cecil.vines@sakilacustomer.org;armando.gruber@sakilacustomer.org;marshall.thorn@sakilacustomer.org"
103,"United States","patricia.johnson@sakilacustomer.org;jennifer.davis@sakilacustomer.org;betty.white@sakilacustomer.org;alice.stewart@sakilacustomer.org;joan.cooper@sakilacustomer.org;ashley.richardson@sakilacustomer.org;diana.alexander@sakilacustomer.org;rosa.reynolds@sakilacustomer.org;kim.cruz@sakilacustomer.org;eva.ramos@sakilacustomer.org;jamie.rice@sakilacustomer.org;valerie.black@sakilacustomer.org;veronica.stone@sakilacustomer.org;ana.bradley@sakilacustomer.org;renee.lane@sakilacustomer.org;wilma.richards@sakilacustomer.org;kristin.johnston@sakilacustomer.org;caroline.bowman@sakilacustomer.org;cassandra.walters@sakilacustomer.org;carole.barnett@sakilacustomer.org;brandy.graves@sakilacustomer.org;toni.holt@sakilacustomer.org;shelly.watts@sakilacustomer.org;richard.mccrary@sakilacustomer.org;thomas.grigsby@sakilacustomer.org;scott.shelley@sakilacustomer.org;victor.barkley@sakilacustomer.org;bryan.hardison@sakilacustomer.org;jacob.lance@sakilacustomer.org;bill.gavin@sakilacustomer.org;zachary.hite@sakilacustomer.org;nathaniel.adam@sakilacustomer.org;karl.seal@sakilacustomer.org;clinton.buford@sakilacustomer.org;ian.still@sakilacustomer.org;rene.mcalister@sakilacustomer.org"
104,"Venezuela","carmen.owens@sakilacustomer.org;cindy.fisher@sakilacustomer.org;yvonne.watkins@sakilacustomer.org;kristina.chambers@sakilacustomer.org;calvin.martel@sakilacustomer.org;mathew.bolin@sakilacustomer.org;alberto.henning@sakilacustomer.org"
105,"Vietnam","beth.franklin@sakilacustomer.org;patrick.newsom@sakilacustomer.org;greg.robins@sakilacustomer.org;mitchell.westmoreland@sakilacustomer.org;harvey.guajardo@sakilacustomer.org;neil.renner@sakilacustomer.org"
106,"Virgin Islands, U.S.","nathan.runyon@sakilacustomer.org"
107,"Yemen","ella.oliver@sakilacustomer.org;gina.williamson@sakilacustomer.org;william.satterfield@sakilacustomer.org;gordon.allard@sakilacustomer.org"
108,"Yugoslavia","maria.miller@sakilacustomer.org;max.pitt@sakilacustomer.org"
109,"Zambia","barry.lovelace@sakilacustomer.org"
